iter	Passed	Remaining
0	0	915
1	2	1000
2	2	970
3	3	913
4	4	876
5	5	845
6	5	830
7	6	811
8	7	799
9	8	802
10	8	794
11	9	786
12	10	780
13	10	773
14	11	767
15	12	760
16	13	772
17	14	782
18	15	798
19	16	800
20	17	796
21	17	790
22	18	787
23	19	789
24	20	786
25	20	782
26	21	776
27	22	772
28	22	767
29	23	764
30	24	763
31	25	762
32	25	761
33	26	760
34	27	760
35	28	762
36	29	761
37	30	762
38	30	760
39	31	757
40	32	754
41	33	752
42	33	748
43	34	746
44	35	746
45	35	745
46	36	746
47	37	743
48	38	743
49	39	742
50	39	738
51	40	736
52	41	736
53	41	735
54	42	735
55	43	735
56	44	733
57	45	732
58	45	731
59	46	727
60	47	727
61	48	726
62	48	725
63	49	722
64	50	721
65	50	720
66	51	719
67	52	713
68	52	712
69	53	710
70	54	710
71	55	709
72	55	707
73	56	706
74	57	705
75	57	704
76	58	702
77	59	700
78	59	698
79	60	697
80	61	697
81	62	697
82	63	696
83	63	694
84	64	690
85	64	689
86	65	685
87	66	684
88	66	683
89	67	682
90	68	681
91	68	680
92	69	679
93	70	682
94	71	684
95	72	685
96	73	685
97	74	684
98	75	685
99	76	688
100	77	687
101	77	683
102	78	683
103	79	682
104	80	682
105	80	681
106	81	681
107	82	680
108	83	679
109	83	678
110	84	677
111	85	676
112	86	676
113	86	675
114	87	674
115	88	671
116	88	670
117	89	669
118	90	667
119	90	665
120	91	665
121	92	664
122	92	660
123	93	660
124	94	659
125	94	658
126	95	657
127	96	655
128	96	654
129	97	654
130	98	653
131	99	653
132	100	652
133	100	651
134	101	651
135	102	649
136	103	649
137	103	647
138	104	647
139	105	646
140	106	646
141	106	645
142	107	643
143	108	642
144	108	641
145	109	641
146	110	640
147	111	639
148	111	638
149	112	636
150	113	636
151	113	635
152	114	634
153	115	633
154	115	632
155	116	630
156	117	629
157	117	628
158	118	627
159	119	627
160	120	626
161	120	625
162	121	625
163	122	625
164	123	624
165	124	623
166	124	622
167	125	621
168	126	620
169	126	619
170	127	619
171	128	618
172	129	616
173	129	616
174	130	615
175	131	615
176	132	614
177	132	612
178	133	611
179	134	610
180	134	608
181	135	607
182	135	606
183	136	605
184	137	605
185	138	604
186	139	604
187	139	603
188	140	603
189	141	602
190	142	602
191	142	601
192	143	600
193	144	599
194	145	599
195	145	598
196	146	596
197	147	595
198	147	594
199	148	593
200	149	593
201	149	592
202	150	591
203	151	591
204	152	590
205	152	589
206	153	588
207	154	587
208	155	587
209	155	586
210	156	585
211	157	584
212	158	584
213	158	583
214	159	582
215	160	581
216	161	581
217	161	580
218	162	579
219	163	578
220	163	577
221	164	577
222	165	576
223	166	575
224	166	575
225	167	574
226	168	574
227	169	574
228	170	573
229	170	572
230	171	571
231	172	570
232	173	569
233	173	568
234	174	567
235	175	567
236	175	566
237	176	564
238	177	563
239	177	562
240	178	562
241	179	561
242	180	560
243	180	560
244	181	560
245	182	559
246	183	558
247	183	557
248	184	556
249	185	555
250	185	554
251	186	553
252	187	552
253	187	551
254	188	550
255	189	550
256	190	549
257	190	548
258	191	547
259	192	547
260	192	546
261	193	545
262	194	545
263	195	544
264	196	543
265	196	543
266	197	542
267	198	541
268	199	540
269	199	540
270	200	539
271	201	538
272	202	537
273	202	537
274	203	536
275	204	535
276	204	534
277	205	533
278	206	532
279	207	532
280	207	531
281	208	531
282	209	530
283	209	529
284	210	528
285	211	528
286	212	527
287	212	526
288	213	525
289	214	524
290	215	524
291	215	523
292	216	522
293	217	521
294	217	520
295	218	520
296	219	519
297	220	518
298	220	517
299	221	516
300	222	516
301	223	515
302	224	515
303	224	514
304	225	513
305	226	513
306	227	512
307	227	511
308	228	511
309	229	510
310	230	509
311	230	508
312	231	508
313	232	507
314	232	506
315	233	505
316	234	505
317	235	504
318	235	503
319	236	502
320	237	501
321	237	501
322	238	500
323	239	499
324	240	499
325	241	498
326	241	497
327	242	497
328	243	496
329	244	495
330	244	494
331	245	493
332	246	492
333	246	492
334	247	491
335	248	490
336	249	489
337	249	489
338	250	488
339	251	488
340	252	487
341	252	486
342	253	486
343	254	485
344	255	484
345	255	483
346	256	482
347	257	482
348	258	481
349	258	480
350	259	480
351	260	479
352	260	478
353	261	477
354	262	476
355	262	475
356	263	474
357	264	474
358	265	473
359	266	473
360	266	472
361	267	471
362	268	470
363	268	469
364	269	468
365	270	468
366	270	467
367	271	466
368	272	465
369	273	465
370	273	464
371	274	463
372	275	462
373	275	461
374	276	460
375	277	460
376	277	459
377	278	458
378	279	457
379	280	457
380	280	456
381	281	455
382	282	454
383	283	454
384	283	453
385	284	452
386	285	452
387	286	451
388	286	450
389	287	449
390	288	449
391	289	448
392	290	448
393	290	447
394	291	446
395	292	445
396	293	445
397	293	444
398	294	443
399	295	443
400	296	442
401	296	441
402	297	440
403	298	439
404	298	439
405	299	438
406	300	437
407	301	437
408	301	436
409	302	435
410	303	435
411	304	434
412	305	433
413	305	432
414	306	432
415	307	431
416	308	430
417	308	429
418	309	429
419	310	428
420	311	427
421	311	427
422	312	426
423	313	425
424	314	424
425	314	424
426	315	423
427	316	422
428	316	421
429	317	421
430	318	420
431	319	419
432	319	418
433	320	418
434	321	417
435	322	416
436	322	415
437	323	414
438	324	414
439	324	413
440	325	412
441	326	411
442	326	411
443	327	410
444	328	409
445	329	408
446	329	408
447	330	407
448	331	406
449	332	405
450	332	405
451	333	404
452	334	403
453	334	402
454	335	402
455	336	401
456	337	400
457	337	399
458	338	398
459	339	398
460	339	397
461	340	396
462	341	395
463	341	395
464	342	394
465	343	393
466	344	392
467	344	392
468	345	391
469	346	390
470	347	390
471	348	389
472	348	388
473	349	387
474	350	387
475	350	386
476	351	385
477	352	384
478	353	384
479	353	383
480	354	382
481	355	381
482	355	380
483	356	380
484	357	379
485	357	378
486	358	377
487	359	377
488	360	376
489	360	375
490	361	374
491	362	374
492	363	373
493	363	372
494	364	371
495	365	371
496	366	370
497	366	369
498	367	368
499	367	367
500	368	367
501	369	366
502	369	365
503	370	364
504	371	364
505	372	363
506	372	362
507	373	361
508	374	361
509	375	360
510	375	359
511	376	359
512	378	358
513	378	358
514	379	357
515	380	357
516	381	356
517	382	355
518	383	354
519	383	354
520	384	353
521	385	352
522	385	351
523	386	351
524	387	350
525	388	349
526	388	349
527	389	348
528	390	347
529	391	346
530	391	346
531	392	345
532	393	344
533	394	343
534	394	343
535	395	342
536	396	341
537	397	340
538	397	340
539	398	339
540	399	338
541	399	337
542	400	337
543	401	336
544	401	335
545	402	334
546	403	333
547	404	333
548	404	332
549	405	331
550	406	330
551	406	330
552	407	329
553	408	328
554	409	327
555	409	327
556	410	326
557	411	325
558	412	325
559	412	324
560	413	323
561	414	322
562	414	322
563	415	321
564	416	320
565	417	319
566	417	319
567	418	318
568	419	317
569	420	316
570	420	316
571	421	315
572	422	314
573	423	314
574	424	313
